episode_seed,split,pattern_index,layer_index,mode,intensity_loss_rate
17,train,0,0,0,0.011242907481856522
17,train,0,0,1,0.020541381898689
17,train,0,0,2,0.01919911404992324
17,train,0,0,3,0.015268679669312295
17,train,0,1,0,0.016939367308310437
17,train,0,1,1,0.014091539004775522
17,train,0,1,2,0.014194058431453362
17,train,0,1,3,0.016892382304828667
17,train,0,2,0,0.01709147843943614
17,train,0,2,1,0.018852482326471274
17,train,0,2,2,0.011191712919717234
17,train,0,2,3,0.01032295055382624
17,train,0,3,0,0.01593869042533283
17,train,0,3,1,0.017993317635172618
17,train,0,3,2,0.013950407753551745
17,train,0,3,3,0.008307337896951478
17,train,0,4,0,0.012334758433653602
17,train,0,4,1,0.010353666925137022
17,train,0,4,2,0.003370558267958251
17,train,0,4,3,0.007236359315010638
17,train,1,0,0,0.003792531837910564
17,train,1,0,1,0.009227252470554712
17,train,1,0,2,0.005786689159903734
17,train,1,0,3,0.010155871395421324
17,train,1,1,0,0.015733350070469655
17,train,1,1,1,0.013045132185136513
17,train,1,1,2,0.012996204789621206
17,train,1,1,3,0.006475917902830698
17,train,1,2,0,0.014475395852751361
17,train,1,2,1,0.012678543543137487
17,train,1,2,2,0.010348279337657083
17,train,1,2,3,0.015398822725026448
17,train,1,3,0,0.015470698254087922
17,train,1,3,1,0.010457219295634597
17,train,1,3,2,0.012663770468028607
17,train,1,3,3,0.015208632785919317
17,train,1,4,0,0.007263776951679531
17,train,1,4,1,0.012130913061908416
17,train,1,4,2,0.011415803546433153
17,train,1,4,3,0.018357357618570574
17,train,2,0,0,0.017101453483571172
17,train,2,0,1,0.016033142526251834
17,train,2,0,2,0.013136934267271791
17,train,2,0,3,0.015397600919344005
17,train,2,1,0,0.013045821103648627
17,train,2,1,1,0.006865869465964116
17,train,2,1,2,0.014737643385901517
17,train,2,1,3,0.011905385060249393
17,train,2,2,0,0.00830260958663246
17,train,2,2,1,0.00853101347326577
17,train,2,2,2,0.007184790574598011
17,train,2,2,3,0.015572971232668719
17,train,2,3,0,0.01366430139903564
17,train,2,3,1,0.011521578070431497
17,train,2,3,2,0.01129129457898982
17,train,2,3,3,0.014414689965356383
17,train,2,4,0,0.014333271065360333
17,train,2,4,1,0.018660231178390115
17,train,2,4,2,0.018820424619437153
17,train,2,4,3,0.014433335275109324
17,train,3,0,0,0.01789308069462868
17,train,3,0,1,0.013118862994294836
17,train,3,0,2,0.01004113879447552
17,train,3,0,3,0.012143677797143907
17,train,3,1,0,0.01326275853447844
17,train,3,1,1,0.018579470854605918
17,train,3,1,2,0.008677834554997656
17,train,3,1,3,0.020050468074426606
17,train,3,2,0,0.01240305063453691
17,train,3,2,1,0.01109040683457984
17,train,3,2,2,0.011459513547318568
17,train,3,2,3,0.006061421574363935
17,train,3,3,0,0.006387458627581357
17,train,3,3,1,0.005693107655932997
17,train,3,3,2,0.008691350280347126
17,train,3,3,3,0.010163383796949295
17,train,3,4,0,0.008173248648870054
17,train,3,4,1,0.013229047782600482
17,train,3,4,2,0.010048612733018197
17,train,3,4,3,0.010035911244976619
17,train,4,0,0,0.016375363384506354
17,train,4,0,1,0.015551308020102258
17,train,4,0,2,0.015495514209583314
17,train,4,0,3,0.015058504841522586
17,train,4,1,0,0.014582511565336553
17,train,4,1,1,0.017462501015309502
17,train,4,1,2,0.009873896134651462
17,train,4,1,3,0.01317756602918577
17,train,4,2,0,0.009743848173983792
17,train,4,2,1,0.009313548597624196
17,train,4,2,2,0.012729219177637306
17,train,4,2,3,0.0060328254169796
17,train,4,3,0,0.01532649894221161
17,train,4,3,1,0.011698263929234606
17,train,4,3,2,0.011294499266694213
17,train,4,3,3,0.0069654341922002665
17,train,4,4,0,0.016152432416257596
17,train,4,4,1,0.014623215943541124
17,train,4,4,2,0.023213217495429088
17,train,4,4,3,0.015731520448465743
17,train,5,0,0,0.016471335723656718
17,train,5,0,1,0.012063086198814922
17,train,5,0,2,0.011330580827504195
17,train,5,0,3,0.01644639649660863
17,train,5,1,0,0.010778723779483463
17,train,5,1,1,0.01075548556366245
17,train,5,1,2,0.0073289082089805085
17,train,5,1,3,0.01258460963683185
17,train,5,2,0,0.007922205609344986
17,train,5,2,1,0.016630945731890084
17,train,5,2,2,0.011257528723729794
17,train,5,2,3,0.011166124925317256
17,train,5,3,0,0.012510483011324625
17,train,5,3,1,0.012259477951469507
17,train,5,3,2,0.011292234906942979
17,train,5,3,3,0.011546824013078834
17,train,5,4,0,0.007518042718206242
17,train,5,4,1,0.00926234222158318
17,train,5,4,2,0.012644503797534097
17,train,5,4,3,0.00900998159199224
17,train,6,0,0,0.01855419128559847
17,train,6,0,1,0.010834187130026741
17,train,6,0,2,0.010077219789258355
17,train,6,0,3,0.014639925747394797
17,train,6,1,0,0.011053125530285715
17,train,6,1,1,0.013807080926018359
17,train,6,1,2,0.012473789598963725
17,train,6,1,3,0.006813765688685196
17,train,6,2,0,0.015550165945521808
17,train,6,2,1,0.015428889214748288
17,train,6,2,2,0.010500951845579337
17,train,6,2,3,0.014399135488394763
17,train,6,3,0,0.00829448124336116
17,train,6,3,1,0.013251180508358733
17,train,6,3,2,0.012742004696288813
17,train,6,3,3,0.011873386163245571
17,train,6,4,0,0.021762031030136575
17,train,6,4,1,0.0164024927705784
17,train,6,4,2,0.019182321721448695
17,train,6,4,3,0.014586336935768435
17,train,7,0,0,0.01299539249971103
17,train,7,0,1,0.021532646131350357
17,train,7,0,2,0.013290140134817753
17,train,7,0,3,0.015238690572454477
17,train,7,1,0,0.010880087766906752
17,train,7,1,1,0.011160562001765961
17,train,7,1,2,0.015045212036262554
17,train,7,1,3,0.011110458139887194
