episode_seed,policy,step,best_utility_so_far
17,random,0,0.3238708597617308
17,random,1,0.3238708597617308
17,random,2,0.3238708597617308
17,random,3,0.6322027486817445
17,random,4,0.6322027486817445
17,random,5,0.6322027486817445
17,random,6,0.6322027486817445
17,random,7,0.6322027486817445
17,random,8,0.6322027486817445
17,random,9,0.6322027486817445
17,random,10,0.6322027486817445
17,random,11,0.6322027486817445
17,random,12,0.6322027486817445
17,random,13,0.6322027486817445
17,random,14,0.6322027486817445
17,random,15,0.6322027486817445
17,random,16,0.6322027486817445
17,random,17,0.6322027486817445
17,random,18,0.6322027486817445
17,random,19,0.6322027486817445
17,random,20,0.6322027486817445
17,random,21,0.6322027486817445
17,random,22,0.6322027486817445
17,random,23,0.6322027486817445
17,random,24,0.6322027486817445
17,random,25,0.6322027486817445
17,random,26,0.6322027486817445
17,random,27,0.6322027486817445
17,random,28,0.6322027486817445
17,random,29,0.6322027486817445
17,random,30,0.6322027486817445
17,random,31,0.6322027486817445
17,random,32,0.6322027486817445
17,random,33,0.6322027486817445
17,random,34,0.6322027486817445
17,random,35,0.6322027486817445
17,random,36,0.6322027486817445
17,random,37,0.6322027486817445
17,random,38,0.6322027486817445
17,random,39,0.6322027486817445
17,random,40,0.6322027486817445
17,random,41,0.6322027486817445
17,random,42,0.6322027486817445
17,random,43,0.6322027486817445
17,random,44,0.8012803262112704
17,random,45,0.8012803262112704
17,random,46,0.8012803262112704
17,random,47,0.8012803262112704
17,greedy,0,0.3238708597617308
17,greedy,1,0.3238708597617308
17,greedy,2,0.3238708597617308
17,greedy,3,0.6322027486817445
17,greedy,4,0.6322027486817445
17,greedy,5,0.6322027486817445
17,greedy,6,0.864447918288662
17,greedy,7,0.8784035301030397
17,greedy,8,0.8784035301030397
17,greedy,9,0.8784035301030397
17,greedy,10,0.8784035301030397
17,greedy,11,0.8784035301030397
17,greedy,12,0.8784035301030397
17,greedy,13,0.8784035301030397
17,greedy,14,0.8784035301030397
17,greedy,15,0.8784035301030397
17,greedy,16,0.8784035301030397
17,greedy,17,0.8784035301030397
17,greedy,18,0.8800327045102354
17,greedy,19,0.8800327045102354
17,greedy,20,0.8800327045102354
17,greedy,21,0.8800327045102354
17,greedy,22,0.8800327045102354
17,greedy,23,0.8800327045102354
17,greedy,24,0.8800327045102354
17,greedy,25,0.8800327045102354
17,greedy,26,0.8800327045102354
17,greedy,27,0.8800327045102354
17,greedy,28,0.8800327045102354
17,greedy,29,0.8800327045102354
17,greedy,30,0.8800327045102354
17,greedy,31,0.8800327045102354
17,greedy,32,0.8800327045102354
